PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31010560","The Use of Cardiotonic Drugs in Neonates","Dempsey E, Rabe H.","Clin Perinatol. 2019 Jun;46(2):273-290. doi: 10.1016/j.clp.2019.02.010. Epub 2019 Mar 30.","Dempsey E","Clin Perinatol","2019","2019/04/24","","","10.1016/j.clp.2019.02.010"
"29855164","Current and Future Treatments for Persistent Pulmonary Hypertension in the Newborn","Pedersen J, Hedegaard ER, Simonsen U, Krüger M, Infanger M, Grimm D.","Basic Clin Pharmacol Toxicol. 2018 Oct;123(4):392-406. doi: 10.1111/bcpt.13051. Epub 2018 Jul 19.","Pedersen J","Basic Clin Pharmacol Toxicol","2018","2018/06/02","","","10.1111/bcpt.13051"
"25990594","Management of Shock in Neonates","Bhat BV, Plakkal N.","Indian J Pediatr. 2015 Oct;82(10):923-9. doi: 10.1007/s12098-015-1758-7. Epub 2015 May 21.","Bhat BV","Indian J Pediatr","2015","2015/05/21","","","10.1007/s12098-015-1758-7"
"28538235","What Should We Do about Low Blood Pressure in Preterm Infants","Dempsey EM.","Neonatology. 2017;111(4):402-407. doi: 10.1159/000460603. Epub 2017 May 25.","Dempsey EM","Neonatology","2017","2017/05/25","","","10.1159/000460603"
"28057037","Role of vasopressin and terlipressin in refractory shock compared to conventional therapy in the neonatal and pediatric population: a systematic review, meta-analysis, and trial sequential analysis","Masarwa R, Paret G, Perlman A, Reif S, Raccah BH, Matok I.","Crit Care. 2017 Jan 5;21(1):1. doi: 10.1186/s13054-016-1589-6.","Masarwa R","Crit Care","2017","2017/01/07","PMC5217634","","10.1186/s13054-016-1589-6"
"27673385","Double-Blind Randomized Clinical Trial Comparing Dopamine and Epinephrine in Pediatric Fluid-Refractory Hypotensive Septic Shock","Ramaswamy KN, Singhi S, Jayashree M, Bansal A, Nallasamy K.","Pediatr Crit Care Med. 2016 Nov;17(11):e502-e512. doi: 10.1097/PCC.0000000000000954.","Ramaswamy KN","Pediatr Crit Care Med","2016","2016/09/28","","","10.1097/PCC.0000000000000954"
"28494828","Treatment of Persistent Pulmonary Hypertension of the Newborn: Use of Pulmonary Vasodilators in Term Neonates","Luecke C, McPherson C.","Neonatal Netw. 2017 May 1;36(3):160-168. doi: 10.1891/0730-0832.36.3.160.","Luecke C","Neonatal Netw","2017","2017/05/13","","","10.1891/0730-0832.36.3.160"
"31888711","Prophylactic use of levosimendan in pediatric patients undergoing cardiac surgery: a prospective randomized controlled trial","Wang A, Cui C, Fan Y, Zi J, Zhang J, Wang G, Wang F, Wang J, Tan Q.","Crit Care. 2019 Dec 30;23(1):428. doi: 10.1186/s13054-019-2704-2.","Wang A","Crit Care","2019","2020/01/01","PMC6937718","","10.1186/s13054-019-2704-2"
"30113395","Comparison of Intermittent Intravenous Boluses of Phenylephrine and Norepinephrine to Prevent and Treat Spinal-Induced Hypotension in Cesarean Deliveries: Randomized Controlled Trial","Sharkey AM, Siddiqui N, Downey K, Ye XY, Guevara J, Carvalho JCA.","Anesth Analg. 2019 Nov;129(5):1312-1318. doi: 10.1213/ANE.0000000000003704.","Sharkey AM","Anesth Analg","2019","2018/08/17","","","10.1213/ANE.0000000000003704"
"32682556","Norepinephrine or phenylephrine during spinal anaesthesia for Caesarean delivery: a randomised double-blind pragmatic non-inferiority study of neonatal outcome","Ngan Kee WD, Lee SWY, Ng FF, Lee A.","Br J Anaesth. 2020 Oct;125(4):588-595. doi: 10.1016/j.bja.2020.05.057. Epub 2020 Jul 15.","Ngan Kee WD","Br J Anaesth","2020","2020/07/20","","","10.1016/j.bja.2020.05.057"
"30465360","Comparison Of The Efficacy Of Sildenafil Alone Versus Sildenafil Plus Bosentan In Newborns With Persistent Pulmonary Hypertension","Fatima N, Arshad S, Quddusi AI, Rehman A, Nadeem A, Iqbal I.","J Ayub Med Coll Abbottabad. 2018 Jul-Sep;30(3):333-336.","Fatima N","J Ayub Med Coll Abbottabad","2018","2018/11/23","","",""
"30389535","Phenylephrine vs ephedrine in cesarean delivery under spinal anesthesia: A systematic literature review and meta-analysis","Xu C, Liu S, Huang Y, Guo X, Xiao H, Qi D.","Int J Surg. 2018 Dec;60:48-59. doi: 10.1016/j.ijsu.2018.10.039. Epub 2018 Oct 31.","Xu C","Int J Surg","2018","2018/11/04","","","10.1016/j.ijsu.2018.10.039"
"28033083","The Hemodynamic Effects and Safety of Repetitive Levosimendan Infusions on Children With Dilated Cardiomyopathy","Suominen P, Mattila N, Nyblom O, Rautiainen P, Turanlahti M, Rahkonen O.","World J Pediatr Congenit Heart Surg. 2017 Jan;8(1):25-31. doi: 10.1177/2150135116674466.","Suominen P","World J Pediatr Congenit Heart Surg","2017","2016/12/30","","","10.1177/2150135116674466"
"31155392","A Randomized Controlled Study of Low-Dose Hydrocortisone Versus Placebo in Dopamine-Treated Hypotensive Neonates Undergoing Hypothermia Treatment for Hypoxic-Ischemic Encephalopathy","Kovacs K, Szakmar E, Meder U, Szakacs L, Cseko A, Vatai B, Szabo AJ, McNamara PJ, Szabo M, Jermendy A.","J Pediatr. 2019 Aug;211:13-19.e3. doi: 10.1016/j.jpeds.2019.04.008. Epub 2019 May 30.","Kovacs K","J Pediatr","2019","2019/06/04","","","10.1016/j.jpeds.2019.04.008"
"20695362","[Peanut allergy]","Turcanu V.","Pneumologia. 2010 Apr-Jun;59(2):77-82.","Turcanu V","Pneumologia","2010","2010/08/11","","",""
"31564521","Late-onset glucocorticoid-responsive circulatory collapse in premature infants","Iijima S.","Pediatr Neonatol. 2019 Dec;60(6):603-610. doi: 10.1016/j.pedneo.2019.09.005. Epub 2019 Sep 12.","Iijima S","Pediatr Neonatol","2019","2019/10/01","","","10.1016/j.pedneo.2019.09.005"
"17273118","Analysis of the evidence for the lower limit of systolic and mean arterial pressure in children","Haque IU, Zaritsky AL.","Pediatr Crit Care Med. 2007 Mar;8(2):138-44. doi: 10.1097/01.PCC.0000257039.32593.DC.","Haque IU","Pediatr Crit Care Med","2007","2007/02/03","","","10.1097/01.PCC.0000257039.32593.DC"
"29682496","Inotropes for Preterm Infants: 50 Years on Are We Any Wiser?","Garvey AA, Kooi EMW, Dempsey EM.","Front Pediatr. 2018 Apr 6;6:88. doi: 10.3389/fped.2018.00088. eCollection 2018.","Garvey AA","Front Pediatr","2018","2018/04/24","PMC5898425","","10.3389/fped.2018.00088"
"30639574","Preventive intramuscular phenylephrine in elective cesarean section under spinal anesthesia: A randomized controlled trial","Xu C, Liu S, Qian D, Liu A, Liu C, Chen Y, Qi D.","Int J Surg. 2019 Feb;62:5-11. doi: 10.1016/j.ijsu.2018.12.014. Epub 2019 Jan 11.","Xu C","Int J Surg","2019","2019/01/15","","","10.1016/j.ijsu.2018.12.014"
"29129252","Design for the sacubitril/valsartan (LCZ696) compared with enalapril study of pediatric patients with heart failure due to systemic left ventricle systolic dysfunction (PANORAMA-HF study)","Shaddy R, Canter C, Halnon N, Kochilas L, Rossano J, Bonnet D, Bush C, Zhao Z, Kantor P, Burch M, Chen F.","Am Heart J. 2017 Nov;193:23-34. doi: 10.1016/j.ahj.2017.07.006. Epub 2017 Jul 17.","Shaddy R","Am Heart J","2017","2017/11/14","","","10.1016/j.ahj.2017.07.006"
"31281996","Corticotrophin-releasing hormone stimulation tests in late-onset circulatory collapse","Ueda H, Kakita H, Ichimura S, Mori M, Takeshita S, Goto T, Kondo T, Yamada Y.","Pediatr Int. 2019 Nov;61(11):1114-1119. doi: 10.1111/ped.13956.","Ueda H","Pediatr Int","2019","2019/07/09","PMC6900133","","10.1111/ped.13956"
"23543571","Vasopressin and its analogues for the treatment of refractory hypotension in neonates","Shivanna B, Rios D, Rossano J, Fernandes CJ, Pammi M.","Cochrane Database Syst Rev. 2013 Mar 28;(3):CD009171. doi: 10.1002/14651858.CD009171.pub2.","Shivanna B","Cochrane Database Syst Rev","2013","2013/04/02","","","10.1002/14651858.CD009171.pub2"
"24100169","Neonatal hypotension: dopamine or dobutamine?","Gupta S, Donn SM.","Semin Fetal Neonatal Med. 2014 Feb;19(1):54-9. doi: 10.1016/j.siny.2013.09.006. Epub 2013 Oct 5.","Gupta S","Semin Fetal Neonatal Med","2014","2013/10/09","","","10.1016/j.siny.2013.09.006"
"29168013","Clinical features and treatment of pediatric patients with drug-induced anaphylaxis: a study based on pharmacovigilance data","Xing Y, Zhang H, Sun S, Ma X, Pleasants RA, Tang H, Zheng H, Zhai S, Wang T.","Eur J Pediatr. 2018 Jan;177(1):145-154. doi: 10.1007/s00431-017-3048-z. Epub 2017 Nov 22.","Xing Y","Eur J Pediatr","2018","2017/11/24","PMC5748398","","10.1007/s00431-017-3048-z"
"10420926","[Losartan]","Quetglas EG, Sádaba B, Escolar M, Honorato J.","Rev Med Univ Navarra. 1997 Jul-Sep;41(3):193-7.","Quetglas EG","Rev Med Univ Navarra","1997","1997/07/01","","",""
"26530497","A review of potential pharmacogenetic effects on catecholamine responses","Ounissi M, Benkirane A, Dempsey E, Soares R, Jullien V, Pons G, Chhun S.","Drug Metab Rev. 2015;47(4):558-64. doi: 10.3109/03602532.2015.1102932. Epub 2015 Nov 3.","Ounissi M","Drug Metab Rev","2015","2015/11/05","","","10.3109/03602532.2015.1102932"
"23439212","Vasopressin and terlipressin in neonates and children with refractory septic shock","Biban P, Gaffuri M.","Curr Drug Metab. 2013 Feb;14(2):186-92.","Biban P","Curr Drug Metab","2013","2013/02/27","","",""
"29499081","Beta-blockers for prevention and treatment of retinopathy of prematurity in preterm infants","Kaempfen S, Neumann RP, Jost K, Schulzke SM.","Cochrane Database Syst Rev. 2018 Mar 2;3(3):CD011893. doi: 10.1002/14651858.CD011893.pub2.","Kaempfen S","Cochrane Database Syst Rev","2018","2018/03/03","PMC6494413","","10.1002/14651858.CD011893.pub2"
"30829668","Dose-Response Study of 4 Weight-Based Phenylephrine Infusion Regimens for Preventing Hypotension During Cesarean Delivery Under Combined Spinal-Epidural Anesthesia","Xiao F, Shen B, Xu WP, Feng Y, Ngan Kee WD, Chen XZ.","Anesth Analg. 2020 Jan;130(1):187-193. doi: 10.1213/ANE.0000000000004092.","Xiao F","Anesth Analg","2020","2019/03/05","","","10.1213/ANE.0000000000004092"
"30935897","Norepinephrine versus phenylephrine infusion for prophylaxis against post-spinal anaesthesia hypotension during elective caesarean delivery: A randomised controlled trial","Hasanin A, Amin S, Refaat S, Habib S, Zayed M, Abdelwahab Y, Elsayad M, Mostafa M, Raafat H, Elshall A, Fatah SAE.","Anaesth Crit Care Pain Med. 2019 Dec;38(6):601-607. doi: 10.1016/j.accpm.2019.03.005. Epub 2019 Mar 30.","Hasanin A","Anaesth Crit Care Pain Med","2019","2019/04/03","","","10.1016/j.accpm.2019.03.005"
"28372510","Delayed cord clamping and inotrope use in preterm infants","Vesoulis ZA, Rhoades J, Muniyandi P, Conner S, Cahill AG, Mathur AM.","J Matern Fetal Neonatal Med. 2018 May;31(10):1327-1334. doi: 10.1080/14767058.2017.1315663. Epub 2017 Apr 20.","Vesoulis ZA","J Matern Fetal Neonatal Med","2018","2017/04/05","PMC5650549","NIHMS869991","10.1080/14767058.2017.1315663"
"18451446","Hypotension in preterm infants","Ibrahim CP.","Indian Pediatr. 2008 Apr;45(4):285-94.","Ibrahim CP","Indian Pediatr","2008","2008/05/03","","",""
"31471281","Evaluation of the causal effects between dopamine infusion changeover and fluctuations in mean arterial pressure in neonates","Kirupakaran K, de Sousa P, Le Roux C, Redwood L, Rabe H, Patel BA.","Arch Dis Child. 2020 Apr;105(4):390-394. doi: 10.1136/archdischild-2019-317123. Epub 2019 Aug 30.","Kirupakaran K","Arch Dis Child","2020","2019/09/01","","","10.1136/archdischild-2019-317123"
"32588134","Norepinephrine prophylaxis for postspinal anesthesia hypotension in parturient undergoing cesarean section: a randomized, controlled trial","Chen Y, Guo L, Shi Y, Ma G, Xue W, He L, Ma S, Ni X.","Arch Gynecol Obstet. 2020 Oct;302(4):829-836. doi: 10.1007/s00404-020-05663-7. Epub 2020 Jun 25.","Chen Y","Arch Gynecol Obstet","2020","2020/06/27","","","10.1007/s00404-020-05663-7"
"28818851","Inotropes for preterm babies during the transition period after birth: friend or foe?","Rabe H, Rojas-Anaya H.","Arch Dis Child Fetal Neonatal Ed. 2017 Nov;102(6):F547-F550. doi: 10.1136/archdischild-2016-311709. Epub 2017 Aug 17.","Rabe H","Arch Dis Child Fetal Neonatal Ed","2017","2017/08/19","","","10.1136/archdischild-2016-311709"
"26346024","A Literature Review of the Pharmacokinetics and Pharmacodynamics of Dobutamine in Neonates","Mahoney L, Shah G, Crook D, Rojas-Anaya H, Rabe H.","Pediatr Cardiol. 2016 Jan;37(1):14-23. doi: 10.1007/s00246-015-1263-9. Epub 2015 Sep 7.","Mahoney L","Pediatr Cardiol","2016","2015/09/09","","","10.1007/s00246-015-1263-9"
"32791121","The effect of spinal hypotension and anesthesia-to-delivery time interval on neonatal outcomes in planned cesarean delivery","Knigin D, Avidan A, Weiniger CF.","Am J Obstet Gynecol. 2020 Nov;223(5):747.e1-747.e13. doi: 10.1016/j.ajog.2020.08.005. Epub 2020 Aug 11.","Knigin D","Am J Obstet Gynecol","2020","2020/08/14","","","10.1016/j.ajog.2020.08.005"
"32796396","The Use of Clevidipine for Hypertension in Pediatric Patients Receiving Mechanical Circulatory Support","Wu M, Ryan KR, Rosenthal DN, Jahadi O, Moss J, Kwiatkowski DM.","Pediatr Crit Care Med. 2020 Dec;21(12):e1134-e1139. doi: 10.1097/PCC.0000000000002562.","Wu M","Pediatr Crit Care Med","2020","2020/08/16","","","10.1097/PCC.0000000000002562"
"29575630","Isosorbide dinitrate in nephronophthisis treatment","Strong A, Muneeruddin S, Parrish R, Lui D, Conley SB.","Am J Med Genet A. 2018 Apr;176(4):1023-1026. doi: 10.1002/ajmg.a.38650.","Strong A","Am J Med Genet A","2018","2018/03/26","","","10.1002/ajmg.a.38650"
